day,ts,session,symbol,direction,strategy,entry,sl,tp,re_evaluations,outcome,exit_price,exit_ts,r_multiple,pnl_usd
2026-07-09,2026-07-09 12:16:36.446187+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62757.8,62820.5578,62663.6633,48,SL_HIT,62820.5578,2026-07-09 12:19:00+00:00,-1.0,-0.63
2026-07-09,2026-07-09 12:17:07.051540+00:00,OVERLAP,GOLD#,SELL,ORDER_FLOW_EXECUTION_AGENT,4110.98,4115.09098,4104.81353,34,SL_HIT,4115.09098,2026-07-09 12:34:00+00:00,-1.0,-4.11
2026-07-09,2026-07-09 12:29:55.458574+00:00,OVERLAP,BTCUSD#,BUY,ORDER_FLOW_EXECUTION_AGENT,62797.7,61603.4148,64589.1278,1,STILL_OPEN,62723.7,2026-07-09 21:00:00+00:00,-0.062,-0.74
2026-07-09,2026-07-09 12:42:56.717935+00:00,OVERLAP,GOLD#,SELL,ORDER_FLOW_EXECUTION_AGENT,4114.82,4118.93482,4108.64777,18,TP_HIT,4108.64777,2026-07-09 12:59:00+00:00,1.5,6.17
2026-07-09,2026-07-09 13:20:40.646302+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62797.95,62860.6774,62703.8589,22,TP_HIT,62703.8589,2026-07-09 13:28:00+00:00,1.5,0.94
2026-07-09,2026-07-09 14:00:09.170327+00:00,OVERLAP,BTCUSD#,BUY,ORDER_FLOW_EXECUTION_AGENT,63031.5,61574.22267,65217.41599,2,STILL_OPEN,62723.7,2026-07-09 21:00:00+00:00,-0.211,-3.08
2026-07-09,2026-07-09 14:04:43.565157+00:00,OVERLAP,GOLD#,BUY,ORDER_FLOW_EXECUTION_AGENT,4132.46,4048.73404,4258.04894,4,STILL_OPEN,4132.43,2026-07-09 21:00:00+00:00,-0.0,-0.03
2026-07-09,2026-07-09 14:15:52.570937+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62815.1,62877.9151,62720.87735,9,TP_HIT,62720.87735,2026-07-09 14:16:00+00:00,1.5,0.94
2026-07-09,2026-07-09 14:38:17.110360+00:00,OVERLAP,BTCUSD#,BUY,ORDER_FLOW_EXECUTION_AGENT,62825.2,61574.42897,64701.35654,13,STILL_OPEN,62723.7,2026-07-09 21:00:00+00:00,-0.081,-1.02
2026-07-09,2026-07-09 14:51:49.943308+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62893.9,62956.7939,62799.55915,2,SL_HIT,62956.7939,2026-07-09 14:55:00+00:00,-1.0,-0.63
2026-07-09,2026-07-09 14:57:46.042543+00:00,OVERLAP,BTCUSD#,BUY,ORDER_FLOW_EXECUTION_AGENT,62957.5,61603.255,64988.8675,3,STILL_OPEN,62723.7,2026-07-09 21:00:00+00:00,-0.173,-2.34
2026-07-09,2026-07-09 15:20:18.345068+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,63035.15,63098.1595,62940.63575,6,SL_HIT,63098.1595,2026-07-09 15:22:00+00:00,-1.0,-0.63
2026-07-09,2026-07-09 15:51:46.053819+00:00,OVERLAP,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62971.3,63034.2713,62876.84305,43,TP_HIT,62876.84305,2026-07-09 15:56:00+00:00,1.5,0.94
2026-07-09,2026-07-09 16:16:24.741955+00:00,NEW_YORK,GOLD#,BUY,ORDER_FLOW_EXECUTION_AGENT,4129.37,4045.59366,4255.03451,3,STILL_OPEN,4132.43,2026-07-09 21:00:00+00:00,0.037,3.06
2026-07-09,2026-07-09 16:43:41.153112+00:00,NEW_YORK,BTCUSD#,SELL,ORDER_FLOW_EXECUTION_AGENT,62738.9,62899.55557,62497.91665,3,STILL_OPEN,62723.7,2026-07-09 21:00:00+00:00,0.095,0.15
